date,rating,comment,category
5-Jan-24,Rated 1 stars out of five stars,"Still a good app, but shows a full screen update message every time you open it (exactly 1 month after updating). Also, if you have cloud backup disabled, it sometimes nags you to enable it, and to skip it, you have to restart the app, as saying ""NO"" to it, it will take a random amount of photos and upload them to your cloud anyways. Can you kindly stop with these intrusive messages? Your app works fine as is. What about an option to select the default screen on startup (for example: Library)?",
5-Jan-24,Rated 1 stars out of five stars,"Please. Stop. Replacing. My. Feature. Photos. It's really frustrating when Google keeps changing the feature photo I've set for some people, especially when they change it to a completely different person, and then I have to clear out a bunch of wrong photos to find the one I had previously selected. The feature photo shouldn't change unless I specifically update it. I've already submitted this as ""feedback."" I don't want to submit more screenshots. I just want it fixed, please.",
5-Jan-24,Rated 2 stars out of five stars,"Unwanted features that can't be turned off. I don't want a ""Best of"" popping up for every month. I don't want little prompts to ""blur background"" popping up on every single photo as I swipe through looking at things. The problem is not the features, but the fact that Google seems to determined to force them on users. Please give us the option to turn these things off.",
5-Jan-24,Rated 3 stars out of five stars,"I love this app because of the 'Memories' feature. It's such a special and important function for me. But there's two things about using it which frustrate me to no end! 1. No 'delete' option for individual pictures/videos, or the entire 'memory'. 2. No 'move' option for the files/memory, if I want to create a folder or move items to an existing folder. These functions would allow me to tidy my files up a little each day; instead, their absence just causes me daily frustration instead!",
5-Jan-24,Rated 3 stars out of five stars,"Google Photos app is really nice, except for the fact that it's always complaining it needs to update and the app is huge. I'd rather use the memory on photos than on apps, thanks. // Edit: Yes, I have automatic updates disabled. That is why the app detects it is running an ""old"" version and on startup makes a full screen prompt to update, which is ... well, not really usable.",
5-Jan-24,Rated 4 stars out of five stars,"""Improvements"" to photo editor have made this app unusable. Worst update ever. Uninstall and keep v.4, there is no reason to update this at all, they changed all the photo editing controls, removing the easy to use [color controls combined & lighting controls combined] sliders trying to make it ""better"". Now it's all preset buttons and you can't slide the live editing controls, WHAT WERE THEY THINKING?? Uninstall and reset the app to original version, end of story. Updates only make the ads work",
5-Jan-24,Rated 1 stars out of five stars,"Ridiculous that we can only create albums with an account + sync. Without an account it is a list of system folders with photos. No search, no albums, no grouping or organization feature of any sort, no facial recognition, no features, no nothing. I just wanted to group my photos in albums to download to an HD on the future without using up my Google Drive storage space.",
5-Jan-24,Rated 4 stars out of five stars,Edit; not a fan of the recent updates and how they've moved around the buttons and changed the layout. It looks a bit clunky and I find myself tapping where things used to be. It's a bit annoying. Also I'm not a fan of these annoying forced app updates. Nobody wants an app to take up MORE space on their phone! There is NO REASON why I needed or wanted to update this app.,
5-Jan-24,Rated 5 stars out of five stars,"Love it ,when they put together photos for video memories. I've ordered photo books too ,you can get hardback or regular . I'm not sure if they offer a disk. That's something I'd love to get .I have to many photos to keep on my phone, putting them on a disk would allow the whole family enjoy them on our big screen tv 😍🤩,and allow me not to have to pay for extra space. Anyone thinking about ordering from Google photos,can be assured that it's quality photos and it's fairly priced too. ENJOY",
5-Jan-24,Rated 1 stars out of five stars,"This app just keeps getting more annoying. I really wish there was a way to roll back to 2019 version. Really frustrating to have ads for a product I pay for constantly presented. Google's response doesn't correspond to any of my issues Redesign is terrible, ads front and center, no way to disable highlights which I don't care about, or the location sucking maps features. Also apparently Google didn't even read the review",
5-Jan-24,Rated 1 stars out of five stars,"Edit: if I could I would take away the one star because of then ""bot"" feedback. I don't have issues adding photos or achieving them later on. I have a problem that when I'm adding multiple pictures to an album I have to re-sekect then again just to archive. There is not a single ""button"". No option to add photos to a folder and in the same time to archive them. It's primitive and has only very basic options. I'm wondering how productively people can use it to manage their collection of photos.",
5-Jan-24,Rated 2 stars out of five stars,"Whatever's happened in the most recent update has knackered the ability to add text to images in the editing features. I can get the words on the image but controlling the location and sizing has become a pain. Assuming this is investigated and fixed, it would be nice to see the text autofill the box size fully rather than just on height. Otherwise it's a decent photo storage app and I'm quite happy using it.",
5-Jan-24,Rated 4 stars out of five stars,"Mostly good, but I have 2 main issues. Navigation to albums is made more difficult that it needs to be; or should be. Instead of a single press to get to an album menu (navigable from the bottom bar) this app desires that you should navigate to library, and then select on all albums if the album you seek isn't within the first handful of options. Not good. The app also keeps begging me to ""backup my photos to drive"", despite having selected no. Remember my choice, and stop trying to steal data",
5-Jan-24,Rated 4 stars out of five stars,"I really wish there was a way to redownload backed up photos and videos in bulk. There are many gallery-cleaning apps that allow you to go through your camera roll and swipe to delete/keep items, which is something I really need because I'm running out of storage, but they can only access local files and the majority of my images are stored in the cloud instead of my device. Alternatively, if the app had a built-in sorting feature. Except for that, it's great!",
5-Jan-24,Rated 1 stars out of five stars,"The worst photo app ever created. I've created a separate folder for photos that I want to upload. And what ? App doesn't see this folder when I open 'photos on device'. No clearing cache or restart helps. So I've picked all the photos and selected ' upload to Google photos'. Where are these photos now ???? In the Photos tab, everything is mixed up! Uploaded photos and photos only on my device are shown. And not is the correct order. This app is an embarrassment.",
5-Jan-24,Rated 1 stars out of five stars,"***F/u: when I move photos, I cannot remove photos from the camera in the library (vs. photo tabs) tab at the bottom of the page. The pic will go where it should, but leave a non-copied photo in its place (can't get rid of it).*** (original) When I move my photos to folders, they auto copy. I can archive, send to folders multiple times & a copy is STILL in the camera. I've uninstalled/re-installed & it still does it!!",
5-Jan-24,Rated 4 stars out of five stars,"Generally a good app to edit and organize your photos. Would have given it five stars, if it wasn't for the occasional freeze/crash every now and then. Observed this behavior acrose at least three different phones (pixel 4, 5 and 8 pro). On the plus side it's completely ad-free and there's only a single version that includes all the features, although some of the more advanced stuff seems to be available only on the latest Google Pixel phones for a while (eg magic eraser).",
5-Jan-24,Rated 2 stars out of five stars,"1. Why don't you put search button at the top of the screen, like all other Google apps?.Why make an exception. It's counter intuitive. 2. Sort the album. It's difficult to choose if you have a lot of albums. 3. Let people know which picture goes into what album. This info is available in browser, not in the app. Please add a simple photo organizer feature, i.e. to move the physical files in one album to other folder. This will help a lot for backup. Thanks 🙏 ...",
5-Jan-24,Rated 1 stars out of five stars,"Works fine for the most part, until you try using the new enhanced features on a Pixel 8 Pro. One major bug I've encountered that hard-locks the Google photos app, is using the Audio eraser feature on a Video Boosted video. Clicking ""save a copy"" after the edits locks the app up, and requires a phone restart if you want to use the app again. Keep trying guys, you're almost there.",
5-Jan-24,Rated 4 stars out of five stars,"It has no editing features for videos. Please provide some basic features like to adding music,theme, effects,etc available direct with one tap of edit icon.(Edit: Google updated photos by adding music and effect options, Thanks however they also need to be improved),Also Object extraction is a part of every other smartphone UI,it's just missing on a smartphone powered by Google AI.Such basic features should also be available on pixel. Thank you.",
5-Jan-24,Rated 2 stars out of five stars,"Takes away control. ""Features"" are forced on you even when you expressly turn them off. With back up turned off it'll still back up photos if you move them to an album. Albums are a painful experience in and of themselves. The UI is a mess, not intuitive in the slightest. Going into the cloud to examine and organize is extremely slow even on fast home internet or 5G. Adding features is fine just stop anticipating what I want and let me control my own device and photos, stop controlling me.",
