date,rating,comment,,,
20-Mar-24,Rated 4 stars out of five stars,"I love this app so much, I have Spotify premium and the benefits are great. All the features are great. But the app itself could use some work, certain glitches or errors in certain features effect the listeners experience in a negative way. For example, the jam feature, where 2 or more people can listen from different devices at the same time, it's a great feature. It's a great way to feel connected through music. But whenever you add a song, or the host adds a song, the song glitches",,,
20-Mar-24,Rated 3 stars out of five stars,"Love the app, great features. One seriously aggravating problem: if I don't turn on shuffle, I don't want it on shuffle. I don't think it should be assumed that people want something mixed or a single played song. That's how my Spotify opens every time and it's terrible. Other than that, it's a phenomenal app and I would still recommend it to people.",,,
20-Mar-24,Rated 4 stars out of five stars,"Spotify is my main music app, and my most preferred, it gives me good suggestions and aligns with my mood quite well. it's a great music app overall, with amazing UI, nice features, and the most accurate Radios I've experienced through all the music apps I've tried. Aside from the features locked to premium, the lyrics are not a premium feature and doesn't even attempt to load the lyrics any further once it doesn't the first time. and it's annoying since it works when it wants to work.",,,
20-Mar-24,Rated 2 stars out of five stars,"I use it for both music and podcasts and either way I hate the way the queue works. Or actually doesn't work . It took me ages to find the tab for it, which I stumbled in accidentally. And the way it so easily drops downloads! And I can't figure out why if I try to play an album it switches back to a podcast after one song! The solution was to clear my podcast queue. NO!!!",,,
20-Mar-24,Rated 4 stars out of five stars,"Love Spotify, and have for years. HOWEVER... my only beef is that while the app WILL technically run in the background, if the app is not front-and-center screen, it will randomly cut out and stop. I use my phone for Uber navigation, so Spotify cannot be the diva on screen, so it will constantly throw a hissy fit and stop if this is the case. Very annoying to have to constantly fiddle with my phone to re-open the app window and restart my music. Other than that, Spotify is the best music app!",,,
20-Mar-24,Rated 2 stars out of five stars,"I love Spotify. I use it almost every day and I have the premium account which I enjoy. But, I have been having issues with the podcasts. When I click my headphone button to resume where I left off, it hardly works. I go into the app, and like some reviews have said I get a black screen, and timestamp is sometimes 0:00 and the play button is unresponsive. I have to force quit the app. Very, very annoying. Also, the shuffle button for music SUCKS. May as well be called the ""reorganize"" button.",,,
20-Mar-24,Rated 1 stars out of five stars,"I've been using Spotify and paying premium for about eight years now. The experience, however, only worsens. The app is bloated and sluggish on mobile. I have to fight device selection, smart shuffle and background requests to features I have no interest in like videos, lyrics and band info. This used to be a solid music player. Now it is an app that tries to do a dozen other things by compromising on the main functionality. I'm organizing myself to move away from this bloated mess.",,,
20-Mar-24,Rated 2 stars out of five stars,"Do not use this app for podcasts. It does all the standard stuff you'd want for music, plain and dry, but its podcast features are an absolute mess. More headache than its worth, especially with much better alternatives on the market. The podcasts on here break the app literally every time it's used, and the only fix is to force stop the app. Every time. Any time. If you pause the app once, because you had to do something quick, expect another force shut down. Simply don't get this for podcasts",,,
20-Mar-24,Rated 2 stars out of five stars,"Spotify used to be great. So great that I got the premium. With recent updates, the UI changed drastically, in my oppinion for the better. New features that were really cool and useful for people who liked to expand their tastes. But now, the app doesn't work half the time. It freezes constantly and lags so bad that I'm here writing this review to tell Spotify this: FIX THIS ASAP.",,,
20-Mar-24,Rated 1 stars out of five stars,"I have been using Spotify Premium for almost ""4 Years"" that a very long time,I can say that, It was one of the best and my favourite music application. On the other hand they also added podcast but I never liked listening podcast in Spotify .But from last one year, I started experiencing bugs, lags ,crashes and also some unwanted recommendations, which is ruining my experience. And as they are trying to add more and more features ,user interface getting complicated and ruining user experience.",,,
20-Mar-24,Rated 4 stars out of five stars,"The app works well for the most part. The shuffle feature(s) tend to be repetitive depending on the song one starts with. Also, since the last patch,the app doesn't sync with my vehicles Bluetooth: always ""there is no song info available"" where before there had never been a problem. It's also bugging out on my phone and displaying incorrect information when I play anything: wrong song titles, artists etc.",,,
20-Mar-24,Rated 1 stars out of five stars,The new widget is far too large and can't be shrunk. The 4×1 widget was perfect. Making the smallest one a 3×2 (which can be widened to 4×2) means it doesn't fit in my typical layout. It takes up more space and offers the same amount of controls. It's frankly moronic. Fix this absolute nonsense and bring back the 4×1 or at least let us shrink it back.,,,
20-Mar-24,Rated 1 stars out of five stars,"Latest update made it impossible to listen to podcasts while driving. It no longer pauses the podcast while the Google maps navigation voice talks. So I miss part of the show and have to rewind 15 seconds. I talked to support and they just said ""that's a new feature."" And ""switch to using Waze"" I'm very disappointed and may have to cancel my premium plan if this isn't fixed. Basically made it worthless for me as I listito podcasts while driving.",,,
20-Mar-24,Rated 1 stars out of five stars,"I completely stopped using Spotify after they decided to remove basic features (like playing just the songs in a playlist) inorder to make their premium offering more attractive. That is not how you encourage someone to try out your subscription. It's digital extortion at its worst. And Guess what, it's been about 6 months since I stopped using it and the world hasn't come to an end. Well what do you know!",,,
20-Mar-24,Rated 2 stars out of five stars,"I feel like the app is pushing sparkly functions but not very helpful ones. I'd like my car view back to easily skip or pause songs with a huge button, for example. You can make it optional for people who drive a car with fancy media function. Or fix shuffle. Or show saved playlists on the first screen vs in a tab you need to look for. Those kinda things. Thanks!",,,
20-Mar-24,Rated 4 stars out of five stars,"Pretty good and has compatibility with tons of other tools and apps just by virtue of popularity. Though theres some of quality of life issues I wish would get addressed, and it feels like each UI update has something mildly annoying to add. For instance I wish it didn't take 3 button presses to simply unlike a song. It would be nice to be able to pin folders within folders, and not automatically shuffle or loop albums saved in folders.",,,
20-Mar-24,Rated 3 stars out of five stars,"Something has happened where auto play, even though it's on, does not work. If I search a song and click on it, after it ends it either doesn't play anything or replays the same song over and over. Repeat button is not highlighted. It has been doing this for the last month or so. I have an android phone. I don't want to delete and reinstall the app because I have ove 300 songs downloaded.",,,
20-Mar-24,Rated 1 stars out of five stars,"Can't listen to a whole album without it changing to a song from a completely different album. Have to pay for basic feature like shuffle/playing songs in order or skipping more than 5-6 time a day. Can barely play podcasts anymore, WHICH WAS THE MAIN REASON I GOT IT. What makes this worse is that youtube has all these ""features"". You can skip, easily make a playlist of anything, and PICK THE ORDER OF SONGS YOU WANT TO LISTEN TO. How is it better than the app specifically made for music?",,,
20-Mar-24,Rated 1 stars out of five stars,"As a music streaming app, the streaming part is just bad. Even with a stable internet connection, my music is intermittent... its infuriating. More so, it seems to always think that the app is set to offline when it is not. The app worked fine before... what have you devs done to screw it up? Changed from 2 to 1 star. Now it won't even play downloaded songs properly.",,,
20-Mar-24,Rated 2 stars out of five stars,"I'd been using an older version of the app for months because it worked perfectly. It let me pick as many songs as I wanted, skip as many times as I wanted, and it ran smoothly. The other day, I wanted to change my profile photo and the button to change it just.. disappeared? And no matter what I did it wouldn't show up so I had no other option but to update to the latest version and honestly, I could've done with not changing my picture. Limited everything, trash interface, and much slower.",,,
20-Mar-24,Rated 1 stars out of five stars,"The app is getting desperate. Why are basic features, like playing a song you want to listen to or even just rewinding a song, to be paid for? It's become more of a money grab than a music app. It was all tolerable till a little long ago; only things that were premium were ads and ofcourse offline music. But now, we only have ""6 skips an hour"", and I can't even tell if I'm listening to music with ads or the otherway round. Please work things out to the consumers and owner's convenience.",,,
20-Mar-24,Rated 2 stars out of five stars,"It would be cool if the shuffle feature actually shuffled. It doesn't matter what song I start it on, if I hit ""shuffle"" it plays the same songs, in the same order, every time. Kind of defeats the whole purpose of the shuffle. I already had issues with this app not feeling super user friendly and this just makes it worse. I may go back to my old streaming service because it just ruins the experience for me.",,,
20-Mar-24,Rated 1 stars out of five stars,"Since an update a few months ago it's been so slow and unresponsive. When I want to keep listening to music that I was listening to earlier, if I try to continue playing it, it'll just lag and then just disappear so I then have to go back into my playlist and click shuffle again, and keep spamming the button until it actually starts playing. This never happened before, it would just start playing music where I left off, no matter how long it had been idle. There's other problems too I'm sick of",,,
20-Mar-24,Rated 1 stars out of five stars,"Spotify keeps stopping music play (even though I pay for premium). Mid-song, it will just stop playing music and I have to pause the song and resume it again to continue listening until the bug hits again. This has been happening frequently the past month or so. I've tried uninstalling the app and reinstalling it twice now, but the bug eventually comes back inevitably. This NEEDS to get fixed or I'm switching to Apple Music.",,,
20-Mar-24,Rated 4 stars out of five stars,"That DJ AI is perfect with only odd, going off, if something doesn't take your interest, it's bound to put something on that might do. Flows too. I find Spotify is missing categories, so it's impossible to find stuff from a certain category if not in the related section. Which in turn, could help undiscovered artists or new ones set up their stands. The music quality is pretty good and the app runs well. I've had a bug when a track is on repeat. The skip function breaks down on the player.",,,
20-Mar-24,Rated 1 stars out of five stars,"Music is good. The shifting ""shelves"" of topics constantly changing is annoying. Wanted to listen to some new albums in the ""New albums for you"" section, the section disappeared after only selecting one. Display all the types of shelves and let the user customize their position in settings and it would be better. Update 3/14/24 When I select ""shuffle"", I want to shuffle my whole Playlist, or an artists whole discography, not the 12 song I've listened to the most, and not their top 5 songs.",,,
20-Mar-24,Rated 2 stars out of five stars,"This app has made it difficult for me to play musice that I like. I can't skip foward and rewind music to my liking, just click on any song I want, and I can't seem to handle the ads. Spotify should let the free users have the same premium features without paying for it. Also, they're taking out half the songs that were on there, now I can't listen to half the things I like. Their feedbacks are the same everytime and they won't change anything. Please change things. I don't want to pay for music",,,
20-Mar-24,Rated 2 stars out of five stars,"Vastly inferior to the desktop version of the app. Some features from desktop are locked behind a Premium subscription on the mobile version, such as basic functionality like playing an album (sometimes it just plays suggested similar songs instead of songs from the album you pressed play on). Also, I have frequent issues where playlists just unexpectedly stop after a few songs, which doesn't make me want to subscribe.",,,
