Date,Rating,Review
2024/3/22,Rated 3 stars out of five stars,Love this app but I one thing I hate is that some features aren't available for everyone. I have tried everything to get photo mode to work and no matter what I do it's not available for me. It's available for friends in my area and every creator I follow. It's really frustrating because I'm a content creator myself and would like the opportunity to utilize these posts! There is no technical support either which is extremely frustrating
2024/3/22,Rated 4 stars out of five stars,"Good app and all EXCEPT how some different device types have more features. The one thing that I want is to be able to post a photo in a comment. I have a Google pixel and I'm not sure which type of phone (I'm pretty sure it's apple) that can post pictures in the comments but I would like that on every phone type. Overall, its a pretty good app. Would recommend if your fine with a few less features then others"
2024/3/22,Rated 2 stars out of five stars,"For 2 months, I have not received notifications from the creators I have selected to get all notifications from. All my settings for notifications are set properly. Nothing has been turned off. I uninstalled and reinstalled with no change to receiving notification. Submitted screen shots to tiktok help, only for them to ask for more screen shots of the same pics I already submitted. Is anyone else having this problem?"
2024/3/22,Rated 1 stars out of five stars,"I've had tiktok for pretty long, but recently there was another update (which is normal).tik Tok had updated the generated captions which is actually really great! But not for me, I don't like the captions on my screen blocking most of the video . I know how to take the captions off but even if I turn the setting off, the captions will still show up. The is very annoying, hope they fix the problem soon:)"
2024/3/22,Rated 2 stars out of five stars,"I love to waste time on this app, but recent updates have made it so hard to navigate on a Galaxy ZFold 4. (tablet mode specifically) I go to check comments and it pulls half the video off screen. When I try to go back to the video, I now can only see half of it. And the comment section disappears completely and I'm left with half a video and a black bar for any other video I try to watch. Please fix ð«"
2024/3/22,Rated 2 stars out of five stars,"I usually love the app and love being on it, but in the new update, there's ""transitions"" when you go from screen to screen and when you start recording a video and discard it, the whole damn screen spins for a few seconds. It is the most inconvenient thing and it gives me such a headache. Theres no option to turn it off either. Its keeping me off the app as of right now thats for sure."
2024/3/22,Rated 4 stars out of five stars,"It's an okay app, but I continually have issues with the favorites page. It stops scrolling down after a while, and things often don't favorite to the right folder when I put them there. I've reset my phone and reinstalled the app, and yet it still keeps happening. It's really annoying to have to favorite the video 60 times for it to work because of the feature that notifys the creator when you favorite it. Either than this constant problem, It's a well working app and it's nicely developed."
2024/3/22,Rated 4 stars out of five stars,I hate the fact that you updated the way videos are put into a playlist and the most recent are at the bottom now. Could you change it back to where the most recent are at the top ? Also I don't know if it's just the server but I'm trying to use the search function and it is so glitchy and laggy to the point it flat out just freezes before the video appears playing music where I'm having to exit the whole app because it gets so Frozen and stuck.
2024/3/22,Rated 1 stars out of five stars,Honestly deserves 1 star. I've been dealing with this issue over the past two years and l've reported it previously but you guys never fix this issue for me. I try looking at filters and I try to enjoy the filters that I see in my for you page but it never gives me the option to even see them. My friends and other people are able to see these filters and use them but in my case they don't show up on my end. Please fix this issue for me it's been far too long for this continue happening.
2024/3/22,Rated 1 stars out of five stars,"Tiktok has been having this issue for awhile where it doesn't open and sits on one page for 10 minutes and still does nothing. Or just doesn't open at all. Now after being redownloaded, it's reverted back to before all the updates when it was first released, and once the app is closed, it doesn't load and I have to uninstall and reinstall again only for it to be of unupdated and showing there are none needed. Please fix this."
2024/3/22,Rated 2 stars out of five stars,"I have an Android phone and the app randomly crashes. This is the 3rd time it's happened. When I open the app and it flashes the black TikTok screen and closes. I tried to clear cache, restart my phone and once I had even waited upto 2 weeks, but nothing worked. It seems like there was an update on 11/03/2024 and today (12/03/2024) my app decides to crash. TikTok need to be more user friendly to Android users (Huawei p30). I've lost so many drafts and memorable videos that I'll never get back."
