date,rating,comment,Category,Sub-Level,
12-May-24,Rated 5 stars out of five stars,"The previous version was robust, I could immediately save a useful word or phrase by marking �? which was visible option at the top right, however, now you guys made it disappeared, having hassle to mark word to the vocabulary list, resulted in making a bit slight delay in my learning, kindly fix that issue 🙏 New review... Thanks😊 a lot to the Google translation developer community, for bringing back the ""mark �?feature in front of interface"," that's the first time you guys have listened to me""",Bugs,Features & UI
12-May-24,Rated 2 stars out of five stars,"Bizzare how the text swap button works completely differently than on other apps, idk if thats bug or what but its really tiresome to write the translation again and again. Compared to deepP, reading translated books in both languages is so cumbersome that i really don't see any value in this app other than second window translator when i dont want to mess with translated text in deepl. Still more pleasant than microsoft app, i give u that.",Bugs,Features & UI,
12-May-24,Rated 2 stars out of five stars,Doesn't work offline. The Greek language pack doesn't work offline. I've installed and reinstalled on 2 different android phones. Download deleted and re-download the Greek language pack and the app suggests downloading the language when there is a connection. Google response is generally to post the issue in the apps help section. This issue is posted there with 100 other users saying same question but not answers from Google or solutions. THERE IS NO OFFLINE OPTION IN THE MUNU,Bugs,Features & UI,
12-May-24,Rated 4 stars out of five stars,"Works ok, however there appears to be a bug with formatting, in particular if you wish to format some text on a forum to bold the formatting gets lost after the translation has executed and goes back to the original text plain format. I've tested this on android 9.0.0 by undoing the translation and I noticed that the formatting returns by doing so. Hopefully this can be fixed? Chrome App with Google Translate.",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"Uninstalled this app. Before the update, it is working fine and even offline. Now, it is not working offline and incorrect translation. What a bummer! UPDATE: Yes Google I did my feedback with screenshots. I tried to install it agai, same issue. So I ain't wasting time again",Bugs,Features & UI,
12-May-24,Rated 4 stars out of five stars,"It's an amazing app that has helped me tremendously, but there's one visual issue that bugs me to no end. I translate into multiple languages and when in dark mode the language select buttons display in black text. Black text on a dark gray background. I cannot figure out how to change this (if I even can). Does anyone know if there is a way to fix this without being forced to use light mode and burning my corneas? Please 🙏🏻",Bugs,Features & UI,
12-May-24,Rated 2 stars out of five stars,"2024-02-16 Update: Same problem remains when offline .. often in Colombia..becomes completely useless with ""Offline"" message and all greyed out Never translates when offline, even if you've downloaded and installed the language. This has let me down several times while in airplane mode and unable to understand a country's entrance form. Lately, it freezes for several seconds and then displays a can't translate error. This used to work much better ...looking for a replacement app",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"As a person who doesn't know English very well & everything is in English nowadays, Google translate is a blessing but I personally feel it, Google translate is not useful anymore. Bugs not limited to app. If you go to any website & translate via option (using Opera & chrome), it doesn't translate whole page but partially until you don't start scrolling, it then translates as you scroll. Major bug facing since last year. No dark theme on web or app. Icon not matching Google multicolour pattern.",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,The camera is very poor it has many bugs and always takes photos which are unwanted and shows a loding screen for long time,Bugs,Features & UI,
12-May-24,Rated 5 stars out of five stars,I love this app. It does a very good job. A lot better than Wechat for sure. However since the UI update on my Android I get multiple floating icons on my screen and it is driving me crazy. Will a fix be issues for this?,Bugs,Features & UI,
