date,rating,comment,Category,Sub-Level
"May 12, 2024",Rated 3 stars out of five stars,"Helpful at times, but constant issues. If you have an intermittent connection, it won't work even if you've downloaded the language to use offline. You save phrases once you find the right context, then it will completely change the context of the word when you revisit. Sometimes, it even just gives you the completely wrong translation. Incredibly inconsistent.",Bugs,Features & UI
"May 12, 2024",Rated 4 stars out of five stars,"The app is good but I would like to suggest a feature that enables to quickly translate texts in real-time. For example, I can't understand Korean, but if I were to watch a Korean show where the subtitles hadn't been added yet, I'd like to use my phone with the camera aimed at the Korean subtitles section to capture the text and translate it at the speed of the subtitle transition in the video. Or something similar to this. Thank you",Feature Requests,Features & UI
"May 12, 2024",Rated 5 stars out of five stars,"""Google Translate is a lifesaver when it comes to breaking language barriers. Its accuracy and vast language database make it an essential tool for communication, whether traveling abroad or interacting with people from different linguistic backgrounds. The ability to translate text, speech, and even images in real-time is truly remarkable. While not perfect, it's continuously improving, and its convenience is unmatched. Highly recommended for anyone navigating a multilingual world.""",Uncategorized,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,"I used this app for years. Recently, it stopped working. I downloaded the needed language before a trip last week. It told me it was downloaded. When I tried using it offline, it told me I had to download the language. It was super frustrating because i didn't have service or access to wifi. I have tried fixing it several times, and no matter what I do, it will not translate offline. It has gone from auseful app to a pointless one. The Help sends you to a forum where everyone has the same issue.",Bugs,Features & UI
"May 12, 2024",Rated 5 stars out of five stars,"★ 3/18/24 ""Google Translate is a lifesaver when it comes to breaking language barriers. Its accuracy and vast language database make it an essential tool for communication, whether traveling abroad or interacting with people from different linguistic backgrounds. The ability to translate text, speech, and even images in real-time is truly remarkable. While not perfect, it's continuously improving, and its convenience is unmatched. Highly recommended for anyone navigating a multilingual world.""",Uncategorized,Features & UI
"May 12, 2024",Rated 4 stars out of five stars,"Great app. It is fairly accurate for the most part. Occasionally, I do verify the translation through another source. The live camera portion still needs some work to be useful. My favorite feature is having the translate icon show up when I copy a word. This makes translations even faster. I did not give it more stars because there is still room for improvement.",Feature Requests,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,"Used this app for 3 years on Samsung galaxy 21 without any problem. 1 weeks ago it says : ""Can't translate connect to internet and try later"" I read about the on/off airplane mode fix. that did not work. uninstall doesn't work. google is very bad. they have no live customer number service. There is no one or a place to go get this fix. Shameful.",Usability,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,"I have used the app for a few years. The features I like is being able to take a picture of words I don't recognize and sending them to the computer. Today, when I opened the app on my phone, my only option was to read the translated text. I am no longer able to choose to see the original text and see the translations below. This was my favorite feature along with selecting and sending the original text to my computer. Please bring the option to see and select the original text back! Thank you!",Feature Requests,Features & UI
"May 12, 2024",Rated 5 stars out of five stars,"Google Translator is a very useful tool for those who need to translate texts or phrases into other languages. It is practical, easy to use. It can help you quickly translate words and phrases, allowing you to understand what is being said in another language.helpful for all people around the world. Not only a few sentences or paragraphs, but this tool also allows to translation of different kinds of files such as DOCX, PDF, XLXS, etc. It's very simple and easy to use, I can type texts directly,",Feature Requests,Features & UI
"May 12, 2024",Rated 2 stars out of five stars,Latest update to the UI is frustrating and clunky to use. Have been trying to adapt but there is simply too much on the screen at all times trying to translate a piece of text from an image. Previous UI design was intiuative and easy to understand. I've resulted in using the desktop version over the app because of how useless it is.,Usability,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,"Was five stars, now zero. I work at a hotel with many Latino employees and this had been the best translator app out there. Then one day I open it up and it won't function at all. I uninstalled and reinstalled it, restarted my phone, nada. I have a Samsung Galaxy S23 Ultra, and I hope they fix it because it was easily the best one with the best features, because I've tried them all. It's your update, Google, not our phones, not how we're using it. Totally nonfunctional. Fix it!",Feature Requests,Features & UI
